Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
ON,ON Semiconductor Corp,Common stocks,Large cap,Information Technology,"$22,928,863,837 ",0.00%,15.81,3.18,4.59,Analyze
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$187,637,439,660 ",2.25%,24.68,4.49,-21.46,Analyze
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$42,937,768,778 ",0.00%,20.02,3.17,-130.8,Analyze
OTIS,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$29,105,168,355 ",1.47%,23.15,2.03,-5.75,Analyze
OXY,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$53,766,646,637 ",0.49%,8.31,1.85,2.18,Analyze
PARA,Paramount Global - Class B,Common stocks,Large cap,Communication Services,"$16,405,606,684 ",3.81%,3.76,0.58,0.67,Analyze
PAYC,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$17,883,386,903 ",0.00%,79.71,15.73,17.64,Analyze
PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$41,462,847,127 ",2.39%,30.5,9.22,12.62,Analyze
PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$27,925,916,391 ",1.67%,14.01,1.16,2.3,Analyze
PEAK,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"$14,233,517,696 ",4.49%,32.68,7.34,2.19,Analyze
PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$30,824,243,004 ",3.36%,-23.46,3.37,2.24,Analyze
PENN,Penn National Gaming Inc,Common stocks,Mid cap,Consumer Discretionary,"$4,975,727,703 ",0.00%,13.04,0.8,1.26,Analyze
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$234,364,863,251 ",2.56%,23.06,2.9,12.88,Analyze
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$291,991,017,484 ",3.00%,11.64,3.16,3.53,Analyze
PFG,Principal Financial Group Inc,Common stocks,Large cap,Financials,"$16,608,934,241 ",3.83%,10.58,1.17,1.4,Analyze
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$347,298,217,735 ",2.41%,23.95,4.36,7.69,Analyze
PGR,Progressive Corp,Common stocks,Large cap,Financials,"$68,459,910,439 ",1.62%,31.83,1.42,4.03,Analyze
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$31,977,467,193 ",1.76%,18.6,2.05,3.51,Analyze
PHM,Pultegroup Inc,Common stocks,Large cap,Consumer Discretionary,"$10,469,835,398 ",1.33%,5.04,0.73,1.42,Analyze
PKG,Packaging Corp Of America,Common stocks,Large cap,Materials,"$12,942,942,888 ",3.04%,13.93,1.61,3.4,Analyze
PKI,Perkinelmer Inc,Common stocks,Large cap,Health Care,"$17,484,178,358 ",0.20%,23.7,3.48,2.41,Analyze
PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$89,505,682,970 ",2.33%,24.05,18.53,2.62,Analyze
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$145,400,347,641 ",5.23%,15.61,4.61,-13.92,Analyze
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$64,969,401,431 ",4.23%,12.7,3.3,1.3,Analyze
PNR,Pentair,Common stocks,Mid cap,Industrials,"$7,639,810,942 ",1.77%,13.99,1.96,3.03,Analyze
PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"$8,023,077,035 ",4.68%,13.17,2.06,1.33,Analyze
POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$14,977,140,901 ",0.91%,20.48,2.65,12.75,Analyze
PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$27,405,630,082 ",2.02%,25.33,1.59,4.4,Analyze
PPL,PPL Corporation,Common stocks,Large cap,Utilities,"$20,045,997,992 ",4.53%,31.46,3.3,1.44,Analyze
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$36,007,500,000 ",4.81%,7.25,0.54,0.8,Analyze
PSA,Public Storage,REITs,Large cap,Real Estate,"$53,952,329,673 ",2.58%,28.65,14.9,5.54,Analyze
PSX,Phillips 66,Common stocks,Large cap,Energy,"$38,733,363,093 ",4.54%,15.04,0.31,1.76,Analyze
PTC,PTC Inc,Common stocks,Large cap,Information Technology,"$12,071,917,421 ",0.00%,25.15,6.42,5.79,Analyze
PVH,PVH Corp,Common stocks,Mid cap,Consumer Discretionary,"$3,822,107,566 ",0.20%,5.69,0,0.72,Analyze
PWR,Quanta Services Inc,Common stocks,Large cap,Industrials,"$18,354,514,629 ",0.21%,38.23,1.29,3.58,Analyze
PXD,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$50,893,652,905 ",1.20%,12.16,2.43,2.16,Analyze
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$82,718,792,128 ",0.00%,23.1,3.2,4.01,Analyze
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$149,579,589,812 ",2.08%,13.4,3.81,11.22,Analyze
QRVO,"Qorvo, Inc.",Common stocks,Large cap,Information Technology,"$10,160,035,652 ",0.00%,9.83,2.19,2.23,Analyze
RCL,Royal Caribbean Cruises Ltd,Common stocks,Mid cap,Consumer Discretionary,"$8,497,693,579 ",0.00%,-1.57,3.33,2.08,Analyze
RE,Everest Re Group Ltd,Common stocks,Large cap,Financials,"$10,918,400,057 ",2.26%,8.18,0.95,1.15,Analyze
REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"$10,427,921,147 ",4.02%,13.2,8.73,1.7,Analyze
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$65,906,831,804 ",0.00%,8.31,3.99,3.31,Analyze
RF,Regions Financial Corp,Common stocks,Large cap,Financials,"$17,727,458,683 ",3.54%,7.54,3.05,1.03,Analyze
RHI,Robert Half,Common stocks,Mid cap,Industrials,"$8,516,175,550 ",2.09%,12.75,1.24,5.76,Analyze
RJF,Raymond James Inc,Common stocks,Large cap,Financials,"$18,671,644,073 ",1.42%,12.35,1.78,2.16,Analyze
RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$6,818,814,267 ",2.98%,8.4,1.14,1.55,Analyze
RMD,Resmed Inc,Common stocks,Large cap,Health Care,"$31,565,302,856 ",0.78%,40.96,9.18,9.74,Analyze
ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$23,074,433,401 ",2.22%,35.69,3.15,8.74,Analyze
ROL,Rollins Inc,Common stocks,Large cap,Industrials,"$17,649,445,200 ",1.05%,52.65,7.12,15.71,Analyze
